size,generation,attacked,predator_attacks_received,predator_hits,consumed,child,age,traveled, population
69,0,0,0,0 ,1,0,1,0, 1516
69,0,20,27,0 ,7,0,68,10, 517
71,0,29,16,0 ,34,0,69,16, 513
71,0,46,16,0 ,42,0,103,25, 395
66,0,5,0,0 ,12,0,104,1, 395
66,0,5,0,0 ,12,0,126,1, 380
67,0,0,19,0 ,18,0,127,56, 377
67,0,0,35,0 ,42,0,370,190, 280
58,0,0,11,0 ,44,0,371,91, 280
58,0,0,11,0 ,46,0,391,100, 260
73,0,0,43,0 ,45,0,392,95, 259
73,0,0,52,0 ,72,0,984,165, 1943
65,0,18,93,0 ,264,0,985,205, 1944
65,0,18,160,0 ,264,0,1869,217, 1954
69,0,0,166,0 ,237,0,1870,111, 1952
