size,generation,attacked,predator_attacks_received,predator_hits,consumed,child,age,traveled,fitness, population
67,0,0,0,0 ,0,0,1,0,0.125, 1563
62,0,0,0,0 ,1,0,1,1,0.375, 1563
73,0,1,0,0 ,1,0,1,1,0.5, 1563
73,0,2,6,0 ,2,1,4,0,0.5208333333333333, 1578
77,0,11,0,0 ,21,4,38,20,0.5057592363544745, 903
65,0,28,0,0 ,16,1,40,28,0.5325727513227512, 872
65,0,30,0,0 ,17,1,42,29,0.5820578231292519, 835
77,0,17,0,0 ,22,4,45,25,0.5908434041986315, 792
72,0,0,9,0 ,25,3,63,40,0.546730039533544, 587
75,0,0,0,0 ,38,5,73,36,0.48954451345755684, 528
63,0,40,0,0 ,47,0,101,42,0.6842471011807064, 452
75,0,0,0,0 ,48,7,103,43,0.6907999991175587, 449
64,0,0,11,0 ,59,12,195,140,0.5646223600469005, 515
72,0,0,123,0 ,39,4,198,70,0.5887192527344691, 527
64,0,0,13,0 ,68,12,215,148,0.534881553069858, 561
71,0,22,0,0 ,102,7,356,160,0.7014388745743564, 1316
72,1,0,28,0 ,121,23,349,151,0.7731792669679837, 1360
61,0,0,19,0 ,172,0,392,116,0.6281537781656559, 1454
72,1,0,28,0 ,148,26,420,182,0.49006932402635184, 1546
61,0,0,19,0 ,205,0,446,149,0.47052085419584283, 1574
83,15,0,59,0 ,82,0,283,47,0.48603815580391685, 1598
95,13,0,0,0 ,114,21,286,186,0.48626735663604764, 1838
