age,population
10,1577
20,1497
30,1041
40,710
50,483
60,372
10,1580
20,1474
30,1035
40,742
50,518
60,370
70,292
80,239
90,210
100,195
110,186
120,178
130,175
140,181
150,174
160,173
170,179
180,181
190,182
200,181
210,174
220,178
230,181
240,184
250,187
260,198
270,199
280,211
290,228
300,259
310,293
320,334
330,379
340,441
350,528
360,662
370,819
380,938
390,1102
400,1258
410,1398
420,1482
430,1536
440,1607
450,1663
10,1551
20,1430
30,1028
40,726
50,538
60,413
70,331
80,258
90,237
100,234
110,245
120,258
130,268
140,307
150,356
160,446
170,559
180,708
190,919
200,1103
210,1319
220,1474
230,1586
240,1665
250,1740
260,1808
270,1869
280,1910
290,1942
300,1969
310,1985
320,1999
330,2020
340,2026
350,2035
360,2040
370,2050
380,2048
390,2037
400,2011
410,1965
420,1920
430,1886
440,1839
450,1791
460,1750
470,1699
480,1662
490,1634
500,1635
510,1633
520,1647
530,1658
540,1655
550,1660
560,1671
570,1687
580,1715
590,1738
600,1780
610,1802
620,1820
630,1834
640,1864
650,1900
660,1920
670,1924
680,1931
690,1949
700,1948
710,1946
720,1952
730,1949
740,1947
750,1938
760,1946
770,1964
780,1957
790,1943
800,1936
810,1933
820,1953
830,1978
840,2014
850,2027
860,2039
870,2051
880,2075
890,2100
900,2115
910,2122
920,2130
930,2143
940,2154
950,2152
960,2167
970,2168
980,2177
990,2183
1000,2176
1010,2169
1020,2148
1030,2134
1040,2119
1050,2117
1060,2106
1070,2100
1080,2079
1090,2064
1100,2054
1110,2035
1120,2015
1130,1996
1140,1979
1150,1940
1160,1905
1170,1900
1180,1866
1190,1812
1200,1746
1210,1680
1220,1638
1230,1611
1240,1614
1250,1621
1260,1637
1270,1644
1280,1669
1290,1688
1300,1681
1310,1699
1320,1718
1330,1741
1340,1760
1350,1777
1360,1807
1370,1841
1380,1863
1390,1890
1400,1912
1410,1942
1420,1966
1430,1978
1440,1985
1450,1989
1460,2010
1470,2014
1480,2023
1490,2035
1500,2045
1510,2056
1520,2077
1530,2084
1540,2095
1550,2107
1560,2112
1570,2109
1580,2111
1590,2120
1600,2127
1610,2138
1620,2145
1630,2143
1640,2145
1650,2150
1660,2149
1670,2155
1680,2161
1690,2172
1700,2163
1710,2169
1720,2169
1730,2174
1740,2175
1750,2180
1760,2175
1770,2174
1780,2165
1790,2157
1800,2143
1810,2129
1820,2115
1830,2100
1840,2088
1850,2088
1860,2075
1870,2049
1880,2038
1890,2018
1900,1996
1910,1974
1920,1959
1930,1935
1940,1918
1950,1899
1960,1875
1970,1853
1980,1802
1990,1779
2000,1725
2010,1680
2020,1663
2030,1643
2040,1637
2050,1646
2060,1653
2070,1678
2080,1680
2090,1702
2100,1710
2110,1739
2120,1755
2130,1768
2140,1789
2150,1797
2160,1812
2170,1829
2180,1854
2190,1876
2200,1897
2210,1913
2220,1943
2230,1959
2240,1966
2250,1978
2260,2001
2270,2019
2280,2029
2290,2035
2300,2050
2310,2057
2320,2070
2330,2073
2340,2087
2350,2090
2360,2104
2370,2116
2380,2133
2390,2145
2400,2155
2410,2166
2420,2183
2430,2187
2440,2199
2450,2201
2460,2200
2470,2196
2480,2203
2490,2202
2500,2198
2510,2200
2520,2201
2530,2207
2540,2198
2550,2217
2560,2223
2570,2206
2580,2193
2590,2172
2600,2171
2610,2152
2620,2134
2630,2114
2640,2101
2650,2097
2660,2081
2670,2065
2680,2044
2690,2033
2700,2016
2710,1986
2720,1966
2730,1945
2740,1930
2750,1897
2760,1887
2770,1858
2780,1814
2790,1763
2800,1718
2810,1695
2820,1670
2830,1653
2840,1631
2850,1639
2860,1635
2870,1654
2880,1652
2890,1667
2900,1686
2910,1698
2920,1711
2930,1736
2940,1761
2950,1804
2960,1828
2970,1840
2980,1865
2990,1884
3000,1899
3010,1930
3020,1936
3030,1959
3040,1982
3050,2003
3060,2016
3070,2040
3080,2054
3090,2077
3100,2084
3110,2109
3120,2115
3130,2118
3140,2129
3150,2136
3160,2141
3170,2154
3180,2166
3190,2171
3200,2189
3210,2189
3220,2199
3230,2210
3240,2211
3250,2205
3260,2211
3270,2209
3280,2201
3290,2194
3300,2206
3310,2194
3320,2198
3330,2191
3340,2183
3350,2180
3360,2174
3370,2165
3380,2157
3390,2147
3400,2144
3410,2141
3420,2134
3430,2122
3440,2108
3450,2095
3460,2089
3470,2088
3480,2072
3490,2052
3500,2024
3510,2010
3520,1978
3530,1960
3540,1925
3550,1889
3560,1859
3570,1832
3580,1805
3590,1761
3600,1714
3610,1666
3620,1650
3630,1641
3640,1635
3650,1647
3660,1655
3670,1657
3680,1684
3690,1697
3700,1725
3710,1753
3720,1755
3730,1781
3740,1801
3750,1810
3760,1837
3770,1871
3780,1893
3790,1914
3800,1931
3810,1952
3820,1962
3830,1977
3840,1989
3850,2010
3860,2016
3870,2034
3880,2050
3890,2074
3900,2072
3910,2074
3920,2093
3930,2092
3940,2104
3950,2113
3960,2125
3970,2139
3980,2140
3990,2147
4000,2160
4010,2175
4020,2182
4030,2188
4040,2204
4050,2207
4060,2205
4070,2208
4080,2208
4090,2211
4100,2207
4110,2216
4120,2218
4130,2217
4140,2210
4150,2202
4160,2193
4170,2183
4180,2179
4190,2174
4200,2150
4210,2137
4220,2117
4230,2114
4240,2094
4250,2083
4260,2065
4270,2045
4280,2031
4290,2010
4300,1995
4310,1970
4320,1958
4330,1949
4340,1929
4350,1901
4360,1882
4370,1854
4380,1817
4390,1781
4400,1710
4410,1665
4420,1644
4430,1617
4440,1608
4450,1621
4460,1634
4470,1648
4480,1677
4490,1705
4500,1732
4510,1744
4520,1769
4530,1778
4540,1806
4550,1813
4560,1833
4570,1855
4580,1870
4590,1897
4600,1920
4610,1928
4620,1951
4630,1965
4640,1978
4650,1998
4660,2015
4670,2031
4680,2044
4690,2053
4700,2054
4710,2065
4720,2081
4730,2088
4740,2093
4750,2106
4760,2113
4770,2125
4780,2135
4790,2143
4800,2156
4810,2163
4820,2182
4830,2188
4840,2196
4850,2197
4860,2196
4870,2201
4880,2214
4890,2206
4900,2205
4910,2208
4920,2206
4930,2202
4940,2185
4950,2176
4960,2181
4970,2171
4980,2173
4990,2173
5000,2160
5010,2155
5020,2149
5030,2129
5040,2118
5050,2106
5060,2097
5070,2084
5080,2056
5090,2041
5100,2027
5110,1999
5120,1974
5130,1959
5140,1934
5150,1905
5160,1876
5170,1849
5180,1814
5190,1771
5200,1718
5210,1663
5220,1633
5230,1620
5240,1625
5250,1635
5260,1636
5270,1650
5280,1661
5290,1669
5300,1671
5310,1682
5320,1706
5330,1738
5340,1757
5350,1770
5360,1802
5370,1819
5380,1847
5390,1868
5400,1900
5410,1915
5420,1934
5430,1949
5440,1969
5450,1987
5460,2005
5470,2014
5480,2020
5490,2038
5500,2049
5510,2061
5520,2072
5530,2073
5540,2089
5550,2094
5560,2103
5570,2124
5580,2137
5590,2140
5600,2152
5610,2162
5620,2174
5630,2183
5640,2181
5650,2186
5660,2188
5670,2189
5680,2182
5690,2180
5700,2184
5710,2184
5720,2193
5730,2197
5740,2200
5750,2198
5760,2201
5770,2193
5780,2195
5790,2188
5800,2180
5810,2172
5820,2164
5830,2157
5840,2142
5850,2125
5860,2121
5870,2099
5880,2091
5890,2074
5900,2044
5910,2026
5920,1992
5930,1952
5940,1934
5950,1911
5960,1877
5970,1842
5980,1795
5990,1744
6000,1696
6010,1638
6020,1633
6030,1598
6040,1604
6050,1596
6060,1592
6070,1590
6080,1606
6090,1641
6100,1657
6110,1683
6120,1707
6130,1732
6140,1783
6150,1810
6160,1829
6170,1848
6180,1866
6190,1886
6200,1920
6210,1941
6220,1963
6230,1984
6240,1994
6250,2006
6260,2020
6270,2020
6280,2034
6290,2041
6300,2060
6310,2078
6320,2085
6330,2084
6340,2093
6350,2091
6360,2103
6370,2114
6380,2137
6390,2154
6400,2155
6410,2164
6420,2176
6430,2176
6440,2186
6450,2194
6460,2199
6470,2195
6480,2197
6490,2196
6500,2192
6510,2188
6520,2190
6530,2197
6540,2198
6550,2191
6560,2183
6570,2175
6580,2159
6590,2140
6600,2129
6610,2124
6620,2106
6630,2100
6640,2089
6650,2070
6660,2062
6670,2042
6680,2032
6690,2012
6700,1992
6710,1977
6720,1958
6730,1934
6740,1913
6750,1893
6760,1868
6770,1841
6780,1804
6790,1765
6800,1704
6810,1672
6820,1648
6830,1645
6840,1638
10,1569
20,1460
30,1026
40,707
50,503
60,378
70,300
80,258
90,230
100,202
110,188
120,183
130,173
140,174
150,176
160,180
170,186
180,206
190,237
200,262
210,290
220,341
230,393
240,506
250,635
260,782
270,910
280,1018
290,1160
300,1308
310,1438
320,1536
330,1626
340,1695
350,1742
360,1781
370,1808
380,1848
390,1884
400,1915
410,1931
420,1945
430,1965
